"user_id","name","screen_name","location","description","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_image_url.1","profile_image_url_https.1","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","default_profile","default_profile_image","profile_banner_url"
"818288213123067908","SaRa <f0><U+009F><U+008C><U+00B8>","Sara_lig14","u.s.a","<U+200F><U+200F><U+200F><U+200F><U+200F>ιμιο ν ©¬ινλμ <f0><U+009F><U+0092><U+009C>",FALSE,911,507,0,2017-01-09 02:48:07,36,NA,NA,FALSE,FALSE,684,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/867428876699541505/F4cKE1NH_normal.jpg","https://pbs.twimg.com/profile_images/867428876699541505/F4cKE1NH_normal.jpg","http://pbs.twimg.com/profile_images/867428876699541505/F4cKE1NH_normal.jpg","https://pbs.twimg.com/profile_images/867428876699541505/F4cKE1NH_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/818288213123067908/1484060024"
"844358584175677440","RaNa Mohamed <f0><U+009F><U+008C><U+00BC>","Ranashaikhoun96",NA,"zamalek <U+2764>
Learn how to be an unbreakable queen <f0><U+009F><U+0091><U+0091>",FALSE,208,76,1,2017-03-22 01:22:28,30,NA,NA,FALSE,FALSE,307,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/864310874869301248/gPngnPnY_normal.jpg","https://pbs.twimg.com/profile_images/864310874869301248/gPngnPnY_normal.jpg","http://pbs.twimg.com/profile_images/864310874869301248/gPngnPnY_normal.jpg","https://pbs.twimg.com/profile_images/864310874869301248/gPngnPnY_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/844358584175677440/1494109280"
"4453370181","<U+569A>ι¬ο• ο•κ •¦<U+D2A0>","emanoelalber","tanta ","<U+200F><U+200F><U+200F><U+200F>¬¦­ κιν¬ ο ιªκμ <f0><U+009F><U+0098><U+0091><f0><U+009F><U+0098><U+0091>",FALSE,749,631,2,2015-12-11 23:38:40,498,NA,NA,FALSE,FALSE,1587,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/866624454486568965/uO_AvKEB_normal.jpg","https://pbs.twimg.com/profile_images/866624454486568965/uO_AvKEB_normal.jpg","http://pbs.twimg.com/profile_images/866624454486568965/uO_AvKEB_normal.jpg","https://pbs.twimg.com/profile_images/866624454486568965/uO_AvKEB_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/4453370181/1494786708"
"2551386026","mo.abozaid_official","mo14abozaid",NA,"for Al Ahly I am a racist",FALSE,666,44,2,2014-06-07 02:13:31,1054,7200,"Cairo",FALSE,FALSE,18,"en",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/862792979240685568/q1jF21lk_normal.jpg","https://pbs.twimg.com/profile_images/862792979240685568/q1jF21lk_normal.jpg","http://pbs.twimg.com/profile_images/862792979240685568/q1jF21lk_normal.jpg","https://pbs.twimg.com/profile_images/862792979240685568/q1jF21lk_normal.jpg","E81C4F","000000","000000","000000",FALSE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/2551386026/1490482201"
"838827328880934913","M","mohamed___Top","κ­©","<U+200F><U+200F>",FALSE,1389,414,1,2017-03-06 19:03:14,601,NA,NA,FALSE,FALSE,4775,"ar",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/867753168020615170/Lw-oxNnf_normal.jpg","https://pbs.twimg.com/profile_images/867753168020615170/Lw-oxNnf_normal.jpg","http://pbs.twimg.com/profile_images/867753168020615170/Lw-oxNnf_normal.jpg","https://pbs.twimg.com/profile_images/867753168020615170/Lw-oxNnf_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/838827328880934913/1494771125"
"3429622869","rwan ghaly<f0><U+009F><U+008C><U+00B8><U+2693>","rwanghaly","from Damietta ","don't let a bad day make you feel like you have a bad life <f0><U+009F><U+008C><U+00B9>
B.F noran, yara, alaa, rowan,maryam<f0><U+009F><U+008C><U+008D><f0><U+009F><U+0092><U+009C>
νιλ εο ιμιο ¥ομ <U+2764><U+26BD>",FALSE,389,198,4,2015-08-18 10:33:01,31,NA,NA,FALSE,FALSE,724,"ar",FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/866230008578179072/nNbnsD4X_normal.jpg","https://pbs.twimg.com/profile_images/866230008578179072/nNbnsD4X_normal.jpg","http://pbs.twimg.com/profile_images/866230008578179072/nNbnsD4X_normal.jpg","https://pbs.twimg.com/profile_images/866230008578179072/nNbnsD4X_normal.jpg","F58EA8","000000","000000","000000",FALSE,FALSE,FALSE,"https://pbs.twimg.com/profile_banners/3429622869/1492381092"
"771012888257499136","Hossam","hossamn2000",NA,"<f0><U+009F><U+0098><U+0090><f0><U+009F><U+0098><U+009E><f0><U+009F><U+0098><U+0092>",FALSE,69,29,0,2016-08-31 15:52:52,57,NA,NA,FALSE,FALSE,18,"ar",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/866671911597682693/C9D899JJ_normal.jpg","https://pbs.twimg.com/profile_images/866671911597682693/C9D899JJ_normal.jpg","http://pbs.twimg.com/profile_images/866671911597682693/C9D899JJ_normal.jpg","https://pbs.twimg.com/profile_images/866671911597682693/C9D899JJ_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/771012888257499136/1472847971"
"853996382193168384","Nada Zain<f0><U+009F><U+008C><U+00B8>","nada_zain74","El Daqahlia, Egypt","<U+200F>ι¥κ§ ιιμ<f0><U+009F><U+0092><U+0097>",FALSE,162,51,0,2017-04-17 15:39:38,87,NA,NA,FALSE,FALSE,119,"en",FALSE,FALSE,FALSE,"F5F8FA",NA,NA,FALSE,"http://pbs.twimg.com/profile_images/866409521836687361/ZUuyH2rM_normal.jpg","https://pbs.twimg.com/profile_images/866409521836687361/ZUuyH2rM_normal.jpg","http://pbs.twimg.com/profile_images/866409521836687361/ZUuyH2rM_normal.jpg","https://pbs.twimg.com/profile_images/866409521836687361/ZUuyH2rM_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/853996382193168384/1495487102"
"3923156835","Hessen <f0><U+009F><U+008E><U+00B8><f0><U+009F><U+00A4><U+0098><f0><U+009F><U+008F><U+00BB>","Hessen_UA07","Cairo, Egypt","guitarist <f0><U+009F><U+008E><U+00B8> snapchat: hessen99 ,insta: hessen9",FALSE,211,502,1,2015-10-11 01:01:52,1795,NA,NA,TRUE,FALSE,964,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/867764213959327744/OKOV3I2E_normal.jpg","https://pbs.twimg.com/profile_images/867764213959327744/OKOV3I2E_normal.jpg","http://pbs.twimg.com/profile_images/867764213959327744/OKOV3I2E_normal.jpg","https://pbs.twimg.com/profile_images/867764213959327744/OKOV3I2E_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/3923156835/1490922763"
"128959700","Mai","Maielhadedy","New Cairo","The type of girls you don't wanna miss with . #AlAhly #Cristiano #Mounir",FALSE,102,81,0,2010-04-02 18:55:31,15,-18000,"Quito",FALSE,FALSE,36,"en",FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/867550493488402435/Fw511J_M_normal.jpg","https://pbs.twimg.com/profile_images/867550493488402435/Fw511J_M_normal.jpg","http://pbs.twimg.com/profile_images/867550493488402435/Fw511J_M_normal.jpg","https://pbs.twimg.com/profile_images/867550493488402435/Fw511J_M_normal.jpg","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,FALSE,"https://pbs.twimg.com/profile_banners/128959700/1495675329"
